注文日,商品名,付帯情報,価格
2020/7/13,ホームルーム（７） (コミックＤＡＹＳコミックス),[Kindle 版] 千代  販売: 株式会社 講談社,660
2020/7/13,ホームルーム（８） (コミックＤＡＹＳコミックス),[Kindle 版] 千代  販売: 株式会社 講談社,693
2020/7/15,無能なナナ 5巻 (デジタル版ガンガンコミックス),"[Kindle 版] るーすぼーい, 古屋庵  販売: 株式会社スクウェア・エニックス",730
2020/7/15,無能なナナ 6巻 (デジタル版ガンガンコミックス),"[Kindle 版] るーすぼーい, 古屋庵  販売: 株式会社スクウェア・エニックス",730
2020/7/17,深夜のダメ恋図鑑（７） (フラワーコミックス),[Kindle 版] 尾崎衣良  販売: 小学館,462
2020/7/17,深夜のダメ恋図鑑（７） (フラワーコミックス),[Kindle 版] 尾崎衣良  販売: 小学館,462
2020/7/17,深夜のダメ恋図鑑（７） (フラワーコミックス),[Kindle 版] 尾崎衣良  販売: 小学館,462
2020/7/25,妻、小学生になる。　２巻 (芳文社コミックス),[Kindle 版] 村田椰融  販売: Amazon Services International LLC,594
2020/7/25,千年狐　一　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,644
2020/7/25,千年狐　三　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2020/7/25,千年狐　二　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2020/7/26,あいだにはたち（６） (コミックＤＡＹＳコミックス),[Kindle 版] さおとめやぎ  販売: 株式会社 講談社,660
2020/7/26,千年狐　三　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2020/7/26,千年狐　四　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,741
2020/7/27,カマかけたらクロでした (コミックエッセイ),[Kindle 版] うえみ あゆみ  販売: Amazon Services International LLC,871
2020/7/27,ただ離婚してないだけ 1 (ヤングアニマルコミックス),[Kindle 版] 本田優貴  販売: 株式会社 白泉社,660
2020/7/27,ただ離婚してないだけ【電子限定おまけ付き】 2 (ヤングアニマルコミックス),[Kindle 版] 本田優貴  販売: 株式会社 白泉社,660
2020/7/27,ただ離婚してないだけ【電子限定おまけ付き】 3 (ヤングアニマルコミックス),[Kindle 版] 本田優貴  販売: 株式会社 白泉社,660
2020/7/27,ただ離婚してないだけ【電子限定おまけ付き】 4 (ヤングアニマルコミックス),[Kindle 版] 本田優貴  販売: 株式会社 白泉社,660
2020/7/27,ただ離婚してないだけ【電子限定おまけ付き】 5 (ヤングアニマルコミックス),[Kindle 版] 本田優貴  販売: 株式会社 白泉社,660
2020/7/27,金魚妻 2 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 黒澤R  販売: 株式会社集英社,627
2020/7/27,離婚してもいいですか？ 翔子の場合 (コミックエッセイ),[Kindle 版] 野原 広子  販売: Amazon Services International LLC,990
2020/7/28,ランド（１０） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,671
2020/7/28,ランド（８） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,660
2020/7/28,ランド（９） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,770
2020/8/3,金田一３７歳の事件簿（１） (イブニングコミックス),"[Kindle 版] 天樹征丸, さとうふみや  販売: 株式会社 講談社",660
2020/8/4,今日も拒まれてます～セックスレス・ハラスメント 嫁日記～ （3） (ぶんか社コミックス),[Kindle 版] ポレポレ美  販売: Amazon Services International LLC,594
2020/8/4,今日も拒まれてます～セックスレス・ハラスメント 嫁日記～ （4） (ぶんか社コミックス),[Kindle 版] ポレポレ美  販売: Amazon Services International LLC,594
2020/8/4,今日も拒まれてます～セックスレス・ハラスメント 嫁日記～ （5） (ぶんか社コミックス),[Kindle 版] ポレポレ美  販売: Amazon Services International LLC,594
2020/8/4,今日も拒まれてます～セックスレス・ハラスメント 嫁日記～ （6） (ぶんか社コミックス),[Kindle 版] ポレポレ美  販売: Amazon Services International LLC,594
2020/8/7,人間失格　3巻（完） (バンチコミックス),"[Kindle 版] 古屋 兎丸, 太宰 治  販売: Amazon Services International LLC",462
2020/8/11,3月のライオン 13 (ヤングアニマルコミックス),[Kindle 版] 羽海野チカ  販売: 株式会社 白泉社,534
2020/8/11,3月のライオン 14 (ヤングアニマルコミックス),[Kindle 版] 羽海野チカ  販売: 株式会社 白泉社,534
2020/8/11,3月のライオン 15 (ヤングアニマルコミックス),[Kindle 版] 羽海野チカ  販売: 株式会社 白泉社,594
2020/9/14,喰う寝るふたり 住むふたり ３巻 (ゼノンコミックス),[Kindle 版] 日暮キノコ  販売: Amazon Services International LLC,535
2020/9/24,事件はスカートの中で（１） (コミックＤＡＹＳコミックス),[Kindle 版] ずみ子  販売: 株式会社 講談社,693
2020/10/12,***,***,22
2020/10/19,ONE PIECE モノクロ版 97 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2020/10/27,金魚妻 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 黒澤R  販売: 株式会社集英社,627
2020/11/5,あなたが甘くねだるまで 1 (ヤングアニマルコミックス),[Kindle 版] ディビ  販売: 株式会社 白泉社,715
2020/11/16,***,***,102
2020/11/24,雪女と蟹を食う（３） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,660
2020/11/24,雪女と蟹を食う（４） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,693
2020/11/24,雪女と蟹を食う（６） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,693
2020/11/25,雪女と蟹を食う（２） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,660
2020/11/25,雪女と蟹を食う（５） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,693
2020/11/30,Kindle Unlimited,販売: Amazon Services International LLC,980
2020/11/30,ブラック芸能事務所ですが何か？　１巻 (芳文社コミックス),[Kindle 版] ｕｓｉ  販売: Amazon Services International LLC,648
2020/11/30,夏目アラタの結婚（１） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,605
2020/11/30,夏目アラタの結婚（２） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,605
2020/11/30,夏目アラタの結婚（３） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,605
2020/11/30,夏目アラタの結婚（４） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,605
2020/11/30,夢で見たあの子のために(3) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,574
2020/11/30,夢で見たあの子のために(4) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,614
2020/11/30,夢で見たあの子のために(5) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,614
2020/11/30,夢で見たあの子のために(6) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,634
2020/11/30,明日、私は誰かのカノジョ（１） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2020/12/1,アカイリンゴ（１） (コミックＤＡＹＳコミックス),[Kindle 版] ムラタコウジ  販売: 株式会社 講談社,693
2020/12/1,さっちゃん、僕は。 4 (ジャンプコミックスDIGITAL),[Kindle 版] 朝賀庵  販売: 株式会社集英社,680
2020/12/1,水溜まりに浮かぶ島（１） (イブニングコミックス),[Kindle 版] 三部けい  販売: 株式会社 講談社,671
2020/12/1,水溜まりに浮かぶ島（２） (イブニングコミックス),[Kindle 版] 三部けい  販売: 株式会社 講談社,671
2020/12/2,ここは今から倫理です。 2 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2020/12/2,ここは今から倫理です。 3 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2020/12/2,ここは今から倫理です。 4 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2020/12/7,雪女と蟹を食う（７） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,693
2020/12/31,Kindle Unlimited,販売: Amazon Services International LLC,980
2021/1/10,進撃の巨人（２７） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（２８） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（２９） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（３０） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（３１） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（３２） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/10,進撃の巨人（３３） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/11,進撃の巨人（２５） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/11,進撃の巨人（２６） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/12,銀魂 モノクロ版 77 (ジャンプコミックスDIGITAL),[Kindle 版] 空知英秋  販売: 株式会社集英社,732
2021/1/12,進撃の巨人（２４） (週刊少年マガジンコミックス),[Kindle 版] 諫山創  販売: 株式会社 講談社,462
2021/1/18,ここは今から倫理です。 5 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
